2.74,19.00,3.5458836555
2.77,18.00,3.5772757530
2.80,19.00,3.6105637550
2.82,19.00,3.6437757015
2.85,19.00,3.6770637035
2.87,19.00,3.7101995944
2.90,19.00,3.7434115409
2.93,19.00,3.7766234874
2.95,18.00,3.8080156326
2.98,18.00,3.8395517349
3.00,19.00,3.8727636337
3.03,19.00,3.9058995246
3.06,18.00,3.9374356269
3.08,19.00,3.9705715179
3.11,19.00,4.0037074089
3.13,18.00,4.0351715087
3.16,19.00,4.0683836936
3.19,19.00,4.1015195846
3.21,19.00,4.1347317695
3.24,19.00,4.1679439544
3.26,20.00,4.2028241157
3.29,19.00,4.2361121177
3.32,19.00,4.2694001197
3.34,19.00,4.3026123046
3.37,19.00,4.3357481956
3.39,19.00,4.3689603805
3.42,19.00,4.4020962715
3.45,19.00,4.4353842735
3.47,19.00,4.4685964584
3.50,19.00,4.5018086433
3.52,19.00,4.5349445343
3.55,19.00,4.5680804252
3.58,19.00,4.6015205383
3.60,19.00,4.6346564292
3.63,18.00,4.6661205291
3.65,17.00,4.6958365440
3.68,17.00,4.7254843711
3.71,19.00,4.7586202621
3.73,20.00,4.7935800552
3.76,20.00,4.8284602165
3.78,20.00,4.8633403778
3.81,20.00,4.8983001708
3.84,20.00,4.9334201812
3.86,19.00,4.9665560722
3.89,20.00,5.0015158653
3.91,19.00,5.0346517562
3.94,19.00,5.0678639411
3.97,19.00,5.1009998321
3.99,19.00,5.1341357231
4.02,18.00,5.1655998229
4.04,17.00,5.1954517364
4.07,17.00,5.2250995635
4.10,18.00,5.2564916610
4.12,18.00,5.2879557609
4.15,18.00,5.3194198608
4.17,19.00,5.3525557518
4.20,18.00,5.3840198516
4.23,19.00,5.4171557426
4.25,19.00,5.4503679275
4.28,19.00,5.4835038185
4.30,19.00,5.5166397094
4.33,20.00,5.5515995025
4.36,19.00,5.5848116874
4.38,18.00,5.6162757873
4.41,18.00,5.6477398872
4.43,17.00,5.6773877143
4.46,18.00,5.7089238166
4.49,18.00,5.7403879165
4.51,17.00,5.7701721191
4.54,18.00,5.8015642166
4.56,17.00,5.8312802314
4.59,17.00,5.8609280586
4.62,18.00,5.8923201560
4.64,19.00,5.9256081581
4.67,18.00,5.9570722579
4.69,18.00,5.9884643554
4.72,20.00,6.0235042572
4.75,19.00,6.0566401481
4.77,18.00,6.0880322456
4.80,19.00,6.1212444305
4.82,19.00,6.1544566154
4.85,18.00,6.1858487129
4.88,16.00,6.2137527465
4.90,14.00,6.2382249832
4.93,15.00,6.2643847465
4.95,18.00,6.2959208488
4.98,19.00,6.3291330337
5.01,18.00,6.3606691360
5.03,18.00,6.3920612335
5.06,18.00,6.4235253334
5.08,19.00,6.4567375183
5.11,19.00,6.4900255203
5.14,19.00,6.5231614112
5.16,20.00,6.5581212043
5.19,20.00,6.5930013656
5.21,20.00,6.6278815269
5.24,20.00,6.6628413200
5.27,20.00,6.6978011131
5.29,18.00,6.7291932106
5.32,17.00,6.7589092254
5.34,18.00,6.7903733253
5.37,17.00,6.8200211524
5.40,18.00,6.8514132499
5.42,17.00,6.8811292648
5.45,16.00,6.9090332984
5.47,18.00,6.9404253959
5.50,18.00,6.9718894958
5.53,18.00,7.0033535957
5.55,18.00,7.0348176956
5.58,19.00,7.0679535865
5.60,21.00,7.1046614646
5.63,20.00,7.1395416259
5.66,20.00,7.1744217872
5.68,20.00,7.2093815803
5.71,18.00,7.2408456802
5.73,19.00,7.2739815711
5.76,19.00,7.3071937561
5.79,18.00,7.3386578559
5.81,23.00,7.3789539337
5.84,33.00,7.4366378784
5.86,37.00,7.5013136863
5.89,36.00,7.5640978813
5.92,38.00,7.6305217742
5.94,36.00,7.6933059692
5.97,30.00,7.7456259727
5.99,28.00,7.7945699691
6.02,24.00,7.8365221023
6.05,22.00,7.8749780654
6.07,23.00,7.9151821136
6.10,29.00,7.9657583236
6.12,31.00,8.0200700759
6.15,34.00,8.0795021057
6.18,36.00,8.1425743103
6.20,37.00,8.2071027755
6.23,34.00,8.2665348052
6.25,35.00,8.3275747299
6.28,37.00,8.3921031951
6.31,39.00,8.4604310989
6.33,42.00,8.5338468551
6.36,37.00,8.5983753204
6.38,35.00,8.6596956253
6.41,36.00,8.7224798202
6.44,36.00,8.7852640151
6.46,36.00,8.8481922149
6.49,39.00,8.9163646697
6.51,39.00,8.9843807220
6.54,37.00,9.0489091873
6.57,36.00,9.1118373870
6.59,36.00,9.1746215820
6.62,32.00,9.2306852340
6.64,34.00,9.2902536392
6.67,34.00,9.3496856689
6.70,32.00,9.4054937362
6.72,33.00,9.4631776809
6.75,35.00,9.5242176055
6.77,37.00,9.5890417098
6.80,36.00,9.6519699096
6.83,35.00,9.7130098342
6.85,38.00,9.7792816162
6.88,40.00,9.8492012023
6.90,39.00,9.9178409576
6.93,41.00,9.9893445968
6.96,44.00,10.0662565231
6.98,43.00,10.1415929794
7.01,46.00,10.2220010757
7.04,47.00,10.3041572570
